"Lower","Upper","Obs"
0.9235825365,1.097173565,1.0921077
0.9128344935,1.08366173,0.9774308
0.9075767905,1.0747804105,0.9482038
0.9113349835,1.08450216,1.0075502
0.91406134,1.08648736,0.9948331
0.919572923,1.08664075,1.009112
0.925736635,1.099962075,0.9049211
0.922336676,1.095713322,0.98256224
0.914235372,1.088546665,0.95021176
0.9120470245,1.08348729,1.01759
0.91123073,1.082878505,0.92879355
0.9093357765,1.075811985,0.9642675
0.908030436,1.082826675,0.9544508
0.9290036385,1.1123044485,0.96248263
0.926012756,1.09966843,0.97653836
0.9181812465,1.090590215,0.96538305
0.922487769,1.09732738,1.0240601
0.9171221745,1.092825375,1.0066578
0.9063629485,1.070576728,1.0903229
0.908510033,1.07118377,0.9145147
0.923634595,1.100263095,1.0497174
0.9137471925,1.0851313115,1.0604265
0.909665958,1.08338152,1.1086175
0.911094344,1.078016867,1.036331
0.9026388425,1.06130212,1.0552951
0.916399097,1.088735285,0.95043486
0.907274962,1.0712393745,0.91272986
0.9176046495,1.088106955,0.94865006
0.9136652595,1.088187543,1.009112
0.9208621645,1.098780945,1.0552951
0.9191904845,1.0958696915,1.0307534
0.90317684,1.06499092,1.1164263
0.922495274,1.10563517,1.1106255
0.9052803885,1.07412146,0.96047467
0.9154399345,1.09163517,0.96225953
0.925616198,1.09897841,1.1119642
0.913337203,1.084724937,1.074036
0.909975588,1.080859253,0.92990905
0.924279219,1.10403971,1.1208885
0.905279761,1.078838922,0.9145147
0.9237476965,1.10064074,1.0564106
0.931468596,1.11351394,1.0184824
0.938023222,1.12315419,0.969399
0.915368043,1.089250695,0.93526363
0.9176359145,1.08446667,1.0365541
0.9088875195,1.076022205,1.009112
0.912169247,1.08407978,0.9435186
0.90278712,1.0628110325,0.9689528
0.9238380155,1.09398862,1.0079964
0.9137977115,1.089201235,1.0586417
0.9185104985,1.097549365,1.0666735
0.9043993725,1.063868429,0.9805543
0.92857629,1.10730674,0.9479807
0.9205075145,1.089988365,1.0046499
0.9127591535,1.0817164125,1.021606
0.909212493,1.08102433,1.1025937
0.9129228225,1.08669304,1.0486019
0.90663767,1.081128925,0.94463414
0.921677541,1.09618092,1.0461477
0.926938493,1.103079015,0.92366207
0.913063784,1.0892556065,1.0490481
0.907038701,1.067978775,0.90916014
0.9175936275,1.086892425,0.97073764
0.921277221,1.099035635,0.9310246
0.9115774295,1.078345125,1.1206653
0.9128762135,1.07842099,1.0387852
0.914047083,1.08380626,1.0771595
0.9098692795,1.076448295,1.01112
0.9182172805,1.091318275,0.92879355
0.9117019205,1.08491842,1.0124586
0.919502637,1.09240286,1.0287454
0.9088613545,1.08236894,1.0352155
0.9224991025,1.0976308425,0.9343712
0.912807085,1.0791107,1.0108968
0.9191401275,1.09890874,1.0416856
0.925647547,1.1100725,1.0158051
0.9044632065,1.071475055,1.0039805
0.910169744,1.0788798525,1.0294147
0.906572928,1.067424315,0.931917
0.912533011,1.079239765,0.904698
0.9080129965,1.0743198375,1.0660042
0.915634854,1.086257558,1.0332075
0.906323206,1.072156655,1.0994703
0.917928186,1.0895143825,1.0521716
0.9105315295,1.07966684,0.93548673
0.919686695,1.09493941,1.0483788
0.921854131,1.097585975,0.95980537
0.919065632,1.098256945,0.94017196
0.908051312,1.076829642,0.9937176
0.913731105,1.08407072,0.9680603
0.9146155485,1.082970485,1.0106738
0.918734987,1.08973579,0.984124
0.908945591,1.08123348,0.9961718
0.926557091,1.107166535,0.99104035
0.912829915,1.089684575,0.96560615
0.916838249,1.087033687,1.01112
0.911057513,1.0760500645,1.0588648
0.9140179705,1.0881772,0.96649855
0.917621651,1.090335515,0.97096074
0.9278806415,1.098846752,1.0648887
0.9200132635,1.091687105,1.0979085
0.920746424,1.093084075,0.99126345
0.9165387725,1.0842253685,1.042355
0.921027454,1.09507675,1.1402987
0.9124117495,1.08130424,1.0296378
0.92021477,1.091758,1.0260681
0.904607221,1.079331115,0.90893704
0.9025587375,1.07073366,1.0430242
0.925876239,1.100812095,1.0838528
0.904908296,1.070399085,1.1289203
0.9075795005,1.081073015,0.94619584
0.908697087,1.078961702,1.0838528
0.9022396235,1.0695590425,0.9473114
0.9251779895,1.09859086,1.1472151
0.916045057,1.08664912,1.0345461
0.9207179865,1.08874861,0.94017196
0.917487896,1.0917154365,1.0416856
0.9110560345,1.090266105,0.97519976
0.912021066,1.079976375,1.0441397
0.9126797395,1.08519863,0.9575743
0.9074377485,1.072754632,0.94641894
0.903399514,1.07413171,0.9776539
0.9174491655,1.0957782,0.95958227
0.904995295,1.07103577,0.9017976
0.9163728305,1.09565002,1.0100044
0.9196512105,1.093440285,1.0318688
0.923180194,1.0974327,0.9415106
0.905413974,1.0724805915,0.96047467
0.9205417695,1.09773483,0.9606978
0.9119045895,1.085887367,1.0506098
0.911572057,1.07854785,0.9328095
0.914294337,1.086950993,1.1121873
0.9219379915,1.093039265,0.9513273
0.9192333335,1.092790465,0.9341481
0.915271044,1.085339955,0.8899729
0.9275408255,1.1070473,0.98680127
0.9289720185,1.11281121,0.94039506
0.912719633,1.07944841,0.9468652
0.9095011725,1.085811907,0.90849084
0.9288825555,1.110679025,1.1068327
0.9082081095,1.06854135,1.1124104
0.9259748705,1.10256796,1.1217809
0.919501607,1.09110623,1.011343
0.9126932555,1.0822121915,1.0305302
0.912922632,1.08255576,1.0131279
0.9184797355,1.083184595,0.9475345
0.91729253,1.080716815,0.9963949
0.9128678175,1.084498095,0.98523957
0.9105167495,1.078415998,0.944411
0.9214323105,1.09521046,0.9897017
0.9185412975,1.093759585,0.9990722
0.9243327395,1.1034021925,0.97274554
0.9094455055,1.0762642765,1.1340518
0.9124963355,1.08015966,1.0347693
0.90883823,1.08209838,1.0361079
0.913670082,1.0833539,1.0744822
0.908332779,1.0761165385,0.8848415
0.9153825665,1.088981555,1.0782751
0.914129076,1.090332855,0.9209848
0.916806511,1.0875093,1.103263
0.9091750655,1.07672809,0.93950266
